Type;Dist;ParsingTime;AnalysingTime;TranslationTime;CompilationTime;ExecutionTime;Time;TimeSec;Cycles;Instructions;L1Misses;LLCMisses;BranchMisses;TaskClock;Scale;IPC;CPUS;GHZ
1;0.5;59.09333332000000000000;97.22666660000000000000;158.80000000000000000000;1195.07999992000000000000;243246.27999996000000000000;244756.47999996000000000000;.73520000000000000000;809604197.27960000000000000000;1177620408.66600000000000000000;110976.54680000000000000000;68221.52000000000000000000;602653.36040000000000000000;245226289.19880000000000000000;3.00000000000000000000;1.45600000000000000000;1.00000000000000000000;3.30000000000000000000
2;0.5;68.61333332000000000000;97.70666668000000000000;155.58666660000000000000;1193.10666664000000000000;303337.01333328000000000000;304852.02666672000000000000;.91560000000000000000;1030718506.72080000000000000000;1494483661.22560000000000000000;164819.58640000000000000000;112792.40080000000000000000;678248.13440000000000000000;305337135.96000000000000000000;3.00000000000000000000;1.45080000000000000000;1.00000000000000000000;3.37680000000000000000
3;0.5;96.81333332000000000000;143.33333328000000000000;319.69333348000000000000;1789.89333328000000000000;425059.70666664000000000000;427409.44000004000000000000;1.28640000000000000000;1414031199.64080000000000000000;2068028269.52000000000000000000;204233.33400000000000000000;89537.93320000000000000000;957250.36080000000000000000;428449967.94640000000000000000;3.00000000000000000000;1.46240000000000000000;1.00000000000000000000;3.29960000000000000000
4;0.5;110.11999996000000000000;141.08000008000000000000;312.93333336000000000000;1767.53333328000000000000;702025.34666672000000000000;704357.01333336000000000000;2.11680000000000000000;2329364764.12040000000000000000;3380858579.65240000000000000000;327353.57360000000000000000;182008.98680000000000000000;1380359.57360000000000000000;705390455.80120000000000000000;3.00000000000000000000;1.45120000000000000000;1.00000000000000000000;3.30040000000000000000
5;0.5;60.86666660000000000000;87.90666672000000000000;250.85333336000000000000;1347.91999996000000000000;244978.53333324000000000000;246726.08000000000000000000;.74160000000000000000;831102832.60040000000000000000;1181276334.26640000000000000000;113103.25320000000000000000;71029.45360000000000000000;607346.57280000000000000000;247257846.82680000000000000000;3.00000000000000000000;1.42080000000000000000;1.00000000000000000000;3.36160000000000000000
6;0.5;72.79999992000000000000;95.09333336000000000000;271.82666660000000000000;1530.60000004000000000000;323424.14666660000000000000;325394.46666668000000000000;.97800000000000000000;1072373984.68040000000000000000;1499146230.81320000000000000000;433168.86640000000000000000;207423.37320000000000000000;777765.58680000000000000000;325998115.78640000000000000000;3.00000000000000000000;1.40000000000000000000;1.00000000000000000000;3.28840000000000000000
7;0.5;58.00000000000000000000;15.60000000000000000000;15.40000000000000000000;611.56000000000000000000;5.08000000000000000000;705.64000000000000000000;0;2834750.04000000000000000000;2998772.24000000000000000000;33098.64000000000000000000;2110.04000000000000000000;32814.48000000000000000000;846569.80000000000000000000;1.00000000000000000000;1.07080000000000000000;1.01600000000000000000;3.35200000000000000000
8;0.5;68.44000000000000000000;15.64000000000000000000;15.04000000000000000000;626.60000000000000000000;5.12000000000000000000;730.84000000000000000000;0;2884898.48000000000000000000;3059978.44000000000000000000;33483.36000000000000000000;2530.52000000000000000000;32900.24000000000000000000;876668.56000000000000000000;1.00000000000000000000;1.07600000000000000000;1.01440000000000000000;3.29000000000000000000
9;0.5;44.64000000000000000000;83.40000000000000000000;125.20000000000000000000;1189.80000000000000000000;241181.08000000000000000000;242624.12000000000000000000;.24040000000000000000;802891800.44000000000000000000;1174447069.64000000000000000000;114231.96000000000000000000;57770.04000000000000000000;578533.96000000000000000000;243097797.80000000000000000000;1.00000000000000000000;1.46280000000000000000;1.00000000000000000000;3.30000000000000000000
10;0.5;54.52000000000000000000;81.44000000000000000000;122.08000000000000000000;1213.52000000000000000000;306635.20000000000000000000;308106.76000000000000000000;.31000000000000000000;1018323218.76000000000000000000;1491965961.76000000000000000000;141879.68000000000000000000;92944.08000000000000000000;704416.68000000000000000000;308539800.76000000000000000000;1.00000000000000000000;1.46520000000000000000;1.00000000000000000000;3.30000000000000000000
